millis,abs_rotations,roll
39593,274,21.06
39693,275,21.08
39793,276,21.13
39893,277,21.23
39993,278,21.25
40093,279,21.32
40193,279,21.36
40293,280,21.41
40393,281,21.43
40493,282,21.46
40593,283,21.55
40693,284,21.63
40793,285,21.68
40893,286,21.71
40993,287,21.78
41093,288,21.79
41193,289,21.81
41293,290,21.89
41393,291,21.96
41493,292,21.98
41593,293,21.98
41693,294,21.99
41793,295,22.04
41893,296,22.09
41993,297,22.17
42093,298,22.25
42193,299,22.32
42293,300,22.31
42393,301,22.31
42493,302,22.33
42593,303,22.39
42693,304,22.45
42793,305,22.50
42893,306,22.51
42993,307,22.56
43093,308,22.65
43193,309,22.73
43293,310,22.80
43393,311,22.79
43493,312,22.82
43593,313,22.89
43693,314,22.97
43793,315,22.98
43893,316,22.98
43993,317,23.04
44093,318,23.09
44193,319,23.14
44293,320,23.14
44393,321,23.16
44493,322,23.19
44593,323,23.30
44693,324,23.36
44793,325,23.38
44893,326,23.40
44993,327,23.44
45093,328,23.48
45193,329,23.51
45293,330,23.53
45393,331,23.57
45493,332,23.62
45593,333,23.61
45693,334,23.56
45793,335,23.61
45893,336,23.61
45993,337,23.63
46093,338,23.69
46193,339,23.73
46293,340,23.81
46393,341,23.89
46493,342,23.99
46593,343,24.05
46693,344,24.06
46793,345,24.09
46893,346,24.16
46993,346,24.18
47093,347,24.21
47193,348,24.31
47293,349,24.35
47393,350,24.39
47493,351,24.46
47593,352,24.46
47693,353,24.54
47793,354,24.53
47893,355,24.59
47993,356,24.63
48093,357,24.65
48193,358,24.67
48293,359,24.74
48393,360,24.76
48493,361,24.76
48593,362,24.84
48693,363,24.93
48793,364,24.94
48893,365,24.97
48993,366,25.04
49093,367,25.00
49193,368,25.07
49293,369,25.12
49393,370,25.15
49493,371,25.24
49593,372,25.27
49693,373,25.29
49793,373,25.36
49893,374,25.36
49993,375,25.38
50093,376,25.43
50193,377,25.49
50293,378,25.49
50393,379,25.53
50493,380,25.59
50593,381,25.63
50693,382,25.64
50793,383,25.69
50893,384,25.71
50993,385,25.72
51093,386,25.80
51193,387,25.86
51293,388,25.89
51393,389,25.96
51493,390,25.97
51593,391,26.00
51693,392,26.04
51793,393,26.02
51893,394,26.06
51993,395,26.05
52093,396,26.06
52193,397,26.11
52293,398,26.13
52393,399,26.16
52493,400,26.26
52593,400,26.29
52693,401,26.28
52793,402,26.36
52893,403,26.38
52993,404,26.38
53093,405,26.43
53193,406,26.43
53293,407,26.50
53393,408,26.50
53493,409,26.54
53593,410,26.57
53693,411,26.60
53793,412,26.62
53893,413,26.68
53993,414,26.71
54093,415,26.78
54193,416,26.77
54293,417,26.78
54393,418,26.81
54493,418,26.87
54593,419,26.95
54693,420,27.06
54793,421,27.09
54893,422,27.08
54993,423,27.05
55093,424,27.08
55193,425,27.10
55293,426,27.09
55393,427,27.09
55493,428,27.11
55593,429,27.13
55693,430,27.20
55793,431,27.22
55893,432,27.23
55993,433,27.30
56093,434,27.30
56193,435,27.35
56293,436,27.35
56393,437,27.38
56493,438,27.43
56593,439,27.45
56693,440,27.48
